Threshold,Cow,Pooling.method,Primer,Cooperia oncophora,Cooperia punctata,Haemonchus contortus,Haemonchus placei,Oesophagostomum radiatum,Ostertagia ostertagi,Trichostrongylus axei
All reads,C13,P1,NEMA1,0.012285408,0.011614807,0.000429185,0.664565451,0.236856223,0.036078326,0.038170601
All reads,C13,P2,NEMA1,0.013222912,0.011456177,0.000966184,0.684140787,0.21915804,0.032877847,0.038178054
All reads,C13,P3,NEMA1,0.011813234,0.010007078,0.000366113,0.674062142,0.22779527,0.036171926,0.039784238
All reads,C13,P4,NEMA1,0.013225064,0.011532256,0.000529003,0.653952972,0.248472505,0.035575423,0.036712778
All reads,C13,P5,NEMA1,0.013054092,0.012000514,0.000616729,0.635693177,0.253090068,0.04293974,0.042605679
All reads,C13,P6,NEMA1,0.013623049,0.012379118,0,0.669154528,0.221720637,0.038180651,0.044942017
All reads,C13,P7,NEMA1,0.013491594,0.011431808,5.14946E-05,0.657509205,0.236437601,0.037462345,0.043615953
All reads,C13,P8,NEMA1,0.012413082,0.010989203,0.00057654,0.674158776,0.228012859,0.03509906,0.03875048
All reads,C13,P9,NEMA1,0.012435025,0.0102473,0,0.674965434,0.228372158,0.035161104,0.038818979
All reads,C13,P10,NEMA1,0.012493845,0.009311036,0,0.678158191,0.229452416,0.033349159,0.037235352
All reads,C13,P11,NEMA1,0.012747432,0.01153663,0.00069383,0.674212639,0.228134141,0.034501054,0.038174274
All reads,C13,P12,NEMA1,0.012800721,0.011584858,0,0.676552958,0.229019522,0.032828317,0.037213623
All reads,C13,P13,NEMA1,0.012038185,0.010773025,0.000396161,0.669537769,0.23211205,0.036127334,0.039015476
All reads,C13,P14,NEMA1,0.01209165,0.008933958,0,0.671946602,0.23307875,0.036287786,0.037661254
All reads,C13,P15,NEMA1,0.01247474,0.010687082,0.000647702,0.678791647,0.223742163,0.034626146,0.03903052
All reads,C13,P16,NEMA1,0.01252178,0.00891998,0,0.681234234,0.224585858,0.03356045,0.039177697
All reads,C14,P1,NEMA1,0.0182191,0.032068305,0.000672292,0.737772698,0.158190191,0,0.053077414
All reads,C14,P2,NEMA1,0.013980096,0.026267687,0.0001354,0.755094442,0.161668134,0,0.042854241
All reads,C14,P3,NEMA1,0.019709416,0.036813389,0.000521089,0.702458313,0.181829328,0,0.058668465
All reads,C14,P4,NEMA1,0.017142857,0.03047619,0,0.739254159,0.164819277,0,0.048307516
All reads,C14,P5,NEMA1,0.016031449,0.030250914,0,0.734897577,0.167746691,0,0.05107337
All reads,C14,P6,NEMA1,0.021534757,0.036585931,0.000740981,0.669290974,0.2048349,0,0.067012458
All reads,C14,P7,NEMA1,0.016990482,0.030755919,0.000524398,0.743726894,0.156191825,0,0.051810483
All reads,C14,P8,NEMA1,0.017385628,0.031888158,0.000446064,0.730805636,0.167698417,0,0.051776097
All reads,C14,P9,NEMA1,0.0166329,0.031926018,0.000119818,0.731673311,0.167810383,0,0.051837571
All reads,C14,P10,NEMA1,0.013432134,0.032033837,0,0.734144289,0.168377105,0,0.052012634
All reads,C14,P11,NEMA1,0.016106998,0.029178121,0.000404783,0.746403333,0.159923091,0,0.047983674
